budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime(in_minutes),spoken_languages,status,title,vote_average,vote_count,multigenre,multilanguage,multicompany,multicountry
"$1,900,000.00","Comedy, Horror",34223,tt0092147,en,Vamp,4.12,"Balcor Film Investors, Planet Productions",United States of America,1986-07-18,"$4,790,926.00",93,English,Released,Vamp,5.9,39,yes,no,yes,no
"$40,000,000.00","Action, Adventure, Drama",11370,tt0246544,en,The Musketeer,4.26,"Crystal Sky Worldwide, MDP Worldwide, ApolloMedia Distribution, Carousel Picture Company, The, Signature Entertainment, Luxembourg Film Fund, D'Artagnan Productions Limited, Q&Q Medien GmbH","United Kingdom, United States of America, Germany, Luxembourg",2001-09-07,"$27,053,815.00",104,"English, Hungarian",Released,The Musketeer,5.2,56,yes,yes,yes,yes
"$57,000,000.00","Music, Drama, Comedy",12508,tt0202470,en,Rock Star,10.08,"Bel Air Entertainment, Warner Bros., Robert Lawrence Productions, Metal Productions Inc., Maysville Pictures",United States of America,2001-09-04,"$16,991,902.00",105,English,Released,Rock Star,6.0,194,yes,no,yes,no
"$30,000,000.00","Drama, Thriller",2176,tt0221218,en,The Glass House,6.42,Original Film,United States of America,2001-09-14,"$23,619,609.00",106,"Spanish, English",Released,The Glass House,5.4,203,yes,yes,no,no
"$32,000,000.00","Comedy, Romance",20857,tt0180734,en,Hardball,7.67,"Paramount Pictures, GHS Productions KG, Munich Film Partners & Company (MFP) GHS Productions, Nides/McCormick Productions","Germany, United States of America",2001-09-14,"$40,222,729.00",106,English,Released,Hardball,6.3,126,yes,no,yes,yes
"$45,000,000.00","Action, Crime, Drama, Thriller",2034,tt0139654,en,Training Day,13.66,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., Outlaw Productions (I), WV Films II","Australia, United States of America",2001-10-05,"$104,876,233.00",122,"English, Russian, Spanish, Korean",Released,Training Day,7.3,1665,yes,yes,yes,yes
"$1,000,000.00","Comedy, Drama, Romance",31016,tt0239986,en,Sidewalks of New York,2.68,Paramount Classics,United States of America,2001-11-23,"$2,402,459.00",107,English,Released,Sidewalks of New York,5.6,16,yes,no,no,no
"$9,400,000.00","Action, Adventure, Comedy, Crime",11576,tt0057193,en,"It's a Mad, Mad, Mad, Mad World",13.27,"United Artists, Casey Productions",United States of America,1963-11-07,"$60,000,000.00",163,English,Released,"It's a Mad, Mad, Mad, Mad World",7.0,142,yes,no,yes,no
"$725,000.00","Crime, Drama, Romance, Thriller",15393,tt0067588,en,Play Misty for Me,5.82,"Universal Pictures, Malpaso Productions",United States of America,1971-11-03,"$10,600,000.00",102,English,Released,Play Misty for Me,6.5,102,yes,no,yes,no
"$2,900,000.00","Comedy, Drama",248,tt0055312,en,Pocketful of Miracles,2.65,Franton Production,United States of America,1961-12-18,"$5,000,000.00",136,"English, Spanish",Released,Pocketful of Miracles,7.3,25,yes,yes,no,no
"$18,000,000.00","Family, Adventure",13766,tt0091993,en,SpaceCamp,6.42,ABC Motion Pictures,United States of America,1986-06-06,"$9,697,739.00",107,English,Released,SpaceCamp,5.8,60,yes,no,no,no
"$50,000,000.00",Thriller,12103,tt0260866,en,Don't Say a Word,6.82,"Village Roadshow Pictures, NPV Entertainment, Regency Enterprises, Kopelson Entertainment, Epsilon Motion Pictures, New Regency Pictures, Furthur Films","Australia, United States of America",2001-09-28,"$100,020,092.00",113,"English, French, Italian, Spanish",Released,Don't Say a Word,6.0,223,no,yes,yes,yes
"$31,000,000.00","Drama, Mystery",11313,tt0252501,en,Hearts in Atlantis,6.43,"Village Roadshow Pictures, Castle Rock Entertainment, Warner Bros.","Australia, United States of America",2001-09-07,"$24,185,781.00",101,English,Released,Hearts in Atlantis,6.5,132,yes,no,yes,yes
"$23,000,000.00","Mystery, Thriller, Drama",10866,tt0206314,en,Joy Ride,10.34,"Regency Enterprises, Epsilon Motion Pictures, LivePlanet, New Regency Pictures, Bad Robot",United States of America,2001-10-05,"$36,642,838.00",97,English,Released,Joy Ride,6.3,328,yes,no,yes,no
"$28,000,000.00","Comedy, Romance",9778,tt0240890,en,Serendipity,5.72,"Miramax Films, Tapestry Films, Simon Fields Productions",United States of America,2001-10-05,"$77,516,304.00",90,English,Released,Serendipity,6.6,529,yes,no,yes,no
"$4,500,000.00","Drama, War",16121,tt0080437,en,The Big Red One,5.4,Lorimar Productions,United States of America,1980-05-28,"$7,206,220.00",113,"English, French, German, Italian",Released,The Big Red One,6.8,83,yes,yes,no,no
"$15,000,000.00","Drama, Music",16769,tt0080549,en,Coal Miner's Daughter,2.85,Universal Pictures,United States of America,1980-03-07,"$67,182,787.00",125,English,Released,Coal Miner's Daughter,7.2,67,yes,no,no,no
"$75,000,000.00","Action, Comedy, Crime, Romance",3172,tt0219965,en,Bandits,13.14,"Cheyenne Enterprises, Epsilon Motion Pictures, Empire Pictures, Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment, Baltimore Spring Creek Productions, Lotus Pictures",United States of America,2001-10-12,"$67,631,903.00",123,English,Released,Bandits,6.2,307,yes,no,yes,no
"$15,000,000.00","Thriller, Drama, Mystery",1018,tt0166924,en,Mulholland Drive,18.18,"Asymmetrical Productions, Les Films Alain Sarde, Babbo Inc., The Picture Factory, Canal+","France, United States of America",2001-05-16,"$20,117,339.00",147,"Spanish, English",Released,Mulholland Drive,7.7,1517,yes,yes,yes,yes
"$4,000,000.00","Action, Crime, Thriller",984,tt0066999,en,Dirty Harry,10.26,"Warner Bros., Malpaso Company",United States of America,1971-12-21,"$35,976,000.00",102,"Spanish, English",Released,Dirty Harry,7.4,630,yes,yes,yes,no
"$35,000,000.00","Horror, Mystery, Thriller",768,tt0120681,en,From Hell,7.79,"Twentieth Century Fox Film Corporation, Underworld Entertainment","Czech Republic, United Kingdom",2001-10-19,"$74,558,115.00",122,"English, Hungarian, Russian",Released,From Hell,6.6,758,yes,yes,yes,yes
"$72,000,000.00","Action, Drama, Thriller",2100,tt0272020,en,The Last Castle,9.81,DreamWorks SKG,United States of America,2001-10-19,"$27,642,707.00",131,English,Released,The Last Castle,7.0,290,yes,no,no,no
"$48,000,000.00","Comedy, Drama, Romance",11091,tt0200027,en,Riding in Cars with Boys,4.56,Columbia Pictures,United States of America,2001-10-19,"$35,743,308.00",132,English,Released,Riding in Cars with Boys,6.5,108,yes,no,no,no
"$48,000,000.00","Drama, Science Fiction",167,tt0272152,en,K-PAX,12.4,"Intermedia Films, Lawrence Gordon Productions, Pathé Pictures International, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","Germany, United Kingdom, United States of America",2001-10-22,"$50,315,140.00",120,English,Released,K-PAX,7.1,710,yes,no,yes,yes
"$6,000,000.00","Fantasy, Drama, Mystery",141,tt0246578,en,Donnie Darko,18.3,"Pandora Cinema, Twentieth Century Fox Film Corporation, Flower Films, Adam Fields Productions",United States of America,2001-01-18,"$1,270,522.00",113,English,Released,Donnie Darko,7.7,3574,yes,no,yes,no
"$115,000,000.00","Animation, Comedy, Family",585,tt0198781,en,"Monsters, Inc.",26.42,"Walt Disney Pictures, Pixar Animation Studios",United States of America,2001-11-01,"$562,816,256.00",92,English,Released,"Monsters, Inc.",7.5,6150,yes,no,yes,no
"$40,000,000.00","Comedy, Romance",9889,tt0256380,en,Shallow Hal,12.52,Twentieth Century Fox Film Corporation,United States of America,2001-11-01,"$141,069,860.00",114,English,Released,Shallow Hal,5.7,764,yes,no,no,no
"$7,000,000.00","Action, Comedy",13408,tt0290332,en,The Wash,2.48,Lionsgate,United States of America,2001-11-16,"$10,229,331.00",93,English,Released,The Wash,5.3,26,yes,no,no,no
"$125,000,000.00","Adventure, Fantasy, Family",671,tt0241527,en,Harry Potter and the Philosopher's Stone,38.19,"1492 Pictures, Warner Bros., Heyday Films","United Kingdom, United States of America",2001-11-16,"$976,475,550.00",152,English,Released,Harry Potter and the Philosopher's Stone,7.5,7188,yes,no,yes,yes
"$6,000,000.00","Comedy, Crime, Thriller",20794,tt0234354,en,Novocaine,3.92,Numb Gums Production Inc.,United States of America,2001-11-23,"$2,025,238.00",95,English,Released,Novocaine,6.0,44,yes,no,no,no
"$92,000,000.00","Action, Crime, Thriller",1535,tt0266987,en,Spy Game,18.19,"Universal Pictures, Metropolitan Filmexport, Toho-Towa, Red Wagon Productions, Beacon Communications, Kalima Productions GmbH & Co. KG","United Kingdom, United States of America",2001-11-18,"$143,049,560.00",126,"Unknown language [cn], English, German, Arabic, French",Released,Spy Game,6.8,592,yes,yes,yes,yes
"$14,000,000.00","Drama, Comedy, Music, Romance",16085,tt0062994,en,Funny Girl,4.65,"Columbia Pictures Corporation, Rastar Productions",United States of America,1968-09-19,"$52,223,306.00",149,English,Released,Funny Girl,6.9,90,yes,no,yes,no
"$2,000,000.00","Action, Thriller",10656,tt0090095,fr,Subway,8.07,Gaumont,France,1985-04-10,"$390,659.00",104,French,Released,Subway,6.3,89,yes,no,no,no
"$810,000.00","Drama, Mystery, Thriller",72277,tt0076299,en,The Last Wave,3.1,Australian Film Commission,Australia,1977-01-01,"$1,258,000.00",106,"English, Italian",Released,The Last Wave,6.8,38,yes,yes,no,no
"$6,500,000.00","Horror, Mystery, Thriller",11033,tt0080661,en,Dressed to Kill,9.38,"Filmways Pictures, Cinema 77 Films",United States of America,1980-06-25,"$31,899,000.00",105,English,Released,Dressed to Kill,6.8,159,yes,no,yes,no
"$35,000,000.00",Science Fiction,3604,tt0080745,en,Flash Gordon,6.35,"Dino De Laurentiis Company, Starling Films",United States of America,1980-09-01,"$27,107,960.00",111,English,Released,Flash Gordon,6.1,237,no,no,yes,no
"$9,000,000.00","Action, Crime, Thriller",10649,tt0074483,en,The Enforcer,7.55,Warner Bros.,United States of America,1976-12-20,"$46,236,000.00",96,English,Released,The Enforcer,6.7,232,yes,no,no,no
"$5,500,000.00","Drama, Action, Crime, Thriller",17689,tt0076070,en,The Gauntlet,6.39,"Malpaso Productions, Warner Bros.",United States of America,1977-12-21,"$26,414,658.00",109,English,Released,The Gauntlet,6.6,121,yes,no,yes,no
"$5,000,000.00","Action, Crime, Drama, Romance, Thriller, Western",14854,tt0085862,en,Lone Wolf McQuade,5.84,"1818, Lone Wolf McQuade Associates, Topkick Productions",United States of America,1983-04-14,"$12,232,628.00",107,"English, Spanish",Released,Lone Wolf McQuade,5.5,67,yes,yes,yes,no
"$22,000,000.00","Action, Crime, Thriller",10650,tt0086383,en,Sudden Impact,9.74,Warner Bros.,United States of America,1983-12-07,"$67,642,693.00",117,English,Released,Sudden Impact,6.5,210,yes,no,no,no
"$40,000,000.00","Action, Drama, Thriller, War",8007,tt0159273,en,Behind Enemy Lines,11.19,"Twentieth Century Fox Film Corporation, Davis Entertainment",United States of America,2001-11-17,"$91,753,202.00",106,"Czech, English, Spanish, Serbian",Released,Behind Enemy Lines,6.0,464,yes,yes,yes,no
"$85,000,000.00","Thriller, Crime",161,tt0240772,en,Ocean's Eleven,12.11,"Village Roadshow Pictures, Section Eight, NPV Entertainment, Jerry Weintraub Productions, Warner Bros., WV Films II",United States of America,2001-12-07,"$450,717,150.00",116,"Italian, English",Released,Ocean's Eleven,7.2,3857,yes,yes,yes,no
"$68,000,000.00","Drama, Mystery, Romance, Science Fiction, Thriller",1903,tt0259711,en,Vanilla Sky,10.07,"Paramount Pictures, Cruise-Wagner Productions, Vinyl Films",United States of America,2001-12-10,"$203,388,341.00",136,English,Released,Vanilla Sky,6.5,1100,yes,no,yes,no
"$21,000,000.00","Comedy, Drama",9428,tt0265666,en,The Royal Tenenbaums,9.71,Touchstone Pictures,United States of America,2001-10-05,"$71,441,250.00",110,"English, Italian",Released,The Royal Tenenbaums,7.4,1317,yes,yes,no,no
"$4,500,000.00","Action, Horror, Science Fiction, Thriller",27150,tt0084684,en,Silent Rage,1.81,"Columbia Pictures Corporation, Topkick Productions",United States of America,1982-04-02,"$10,500,000.00",103,"English, Spanish",Released,Silent Rage,5.0,22,yes,yes,yes,no
"$15,000,000.00","Adventure, Science Fiction",26978,tt0086346,en,Spacehunter: Adventures in the Forbidden Zone,3.52,"Columbia Pictures Corporation, Delphi Productions, Zone Productions",United States of America,1983-05-20,"$16,500,000.00",90,English,Released,Spacehunter: Adventures in the Forbidden Zone,5.1,37,yes,no,yes,no
"$12,000,000.00",Comedy,8386,tt0278488,en,How High,6.8,"Universal Pictures, Jersey Films, Native Pictures Productions",United States of America,2001-12-21,"$31,155,435.00",93,English,Released,How High,6.4,230,no,no,yes,no
"$93,000,000.00","Adventure, Fantasy, Action",120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,32.07,"WingNut Films, New Line Cinema, The Saul Zaentz Company","New Zealand, United States of America",2001-12-18,"$871,368,364.00",178,English,Released,The Lord of the Rings: The Fellowship of the Ring,8.0,8892,yes,no,yes,yes
"$72,000,000.00","Drama, Romance",11086,tt0268995,en,The Majestic,8.06,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Darkwoods Productions",United States of America,2001-12-21,"$37,317,558.00",152,English,Released,The Majestic,6.6,193,yes,no,yes,no
"$60,000,000.00","Drama, Romance",453,tt0268978,en,A Beautiful Mind,11.94,"Imagine Entertainment, DreamWorks SKG, Universal Pictures",United States of America,2001-12-11,"$313,542,341.00",135,English,Released,A Beautiful Mind,7.7,3087,yes,no,yes,no
"$3,000,000.00","Drama, Mystery, Crime",37257,tt0051201,en,Witness for the Prosecution,9.73,Edward Small Productions,United States of America,1957-12-17,"$9,000,000.00",116,"German, English",Released,Witness for the Prosecution,8.1,278,yes,yes,no,no
"$107,000,000.00",Drama,8489,tt0248667,en,Ali,9.3,Columbia Pictures Corporation,United States of America,2001-12-11,"$87,713,825.00",157,English,Released,Ali,6.7,457,no,no,no,no
"$92,000,000.00","Action, History, War",855,tt0265086,en,Black Hawk Down,10.06,"Jerry Bruckheimer Films, Revolution Studios, Scott Free Productions","United Kingdom, United States of America",2001-12-28,"$172,989,651.00",144,"English, Somali",Released,Black Hawk Down,7.2,1832,yes,yes,yes,yes
"$12,000,000.00","Music, Drama, Romance",10269,tt0086619,en,Yentl,2.59,"United Artists, Barwood Films, Ladbroke","United Kingdom, United States of America",1983-11-18,"$30,400,000.00",132,English,Released,Yentl,6.2,51,yes,no,yes,yes
"$19,800,000.00","Drama, Mystery, Thriller",5279,tt0280707,en,Gosford Park,14.1,USA Films,"Germany, United Kingdom, United States of America",2001-11-07,"$87,754,044.00",137,English,Released,Gosford Park,6.8,256,yes,no,no,yes
"$22,000,000.00",Drama,10950,tt0277027,en,I Am Sam,12.94,New Line Cinema,United States of America,2001-12-28,"$92,542,418.00",132,English,Released,I Am Sam,7.2,542,no,no,no,no
"$4,000,000.00","Drama, Romance",1365,tt0285742,en,Monster's Ball,6.34,"Lions Gate Films, Lee Daniels Entertainment",United States of America,2001-11-11,"$44,909,486.00",111,English,Released,Monster's Ball,6.6,254,yes,no,yes,no
"$15,000,000.00","Drama, Action, Thriller",24206,tt0117653,en,Silent Trigger,1.67,"Newmarket Capital Group, Cine Grande Corporation, Filmline International, Conquistador Entertainment, Algonquin Productions Limited","Canada, United Kingdom",1996-06-26,"$76,382.00",93,English,Released,Silent Trigger,5.0,22,yes,no,yes,yes
"$38,000,000.00","Thriller, Action, Comedy, Crime, Drama",11595,tt0099044,en,Another 48 Hrs.,6.94,Paramount Pictures,United States of America,1990-06-08,"$153,518,974.00",95,"Unknown language [cn], English",Released,Another 48 Hrs.,5.8,205,yes,yes,no,no
"$18,000,000.00",Fantasy,848,tt0082288,en,Dragonslayer,3.38,"Paramount Pictures, Walt Disney Productions",United Kingdom,1981-06-26,"$14,110,013.00",108,"English, Hungarian",Released,Dragonslayer,6.5,69,no,yes,yes,no
"$18,000,000.00","Adventure, Fantasy, Action",9610,tt0087078,en,Conan the Destroyer,10.15,"Universal Studios, De Laurentiis Entertainment Group (DEG)",United States of America,1984-06-29,"$100,000,000.00",103,English,Released,Conan the Destroyer,5.8,391,yes,no,yes,no
"$12,000,000.00","Thriller, Action, Comedy, Crime, Drama",150,tt0083511,en,48 Hrs.,15.3,Paramount Pictures,United States of America,1982-12-07,"$78,868,508.00",96,English,Released,48 Hrs.,6.5,364,yes,no,no,no
"$15,000,000.00","Science Fiction, Thriller",15050,tt0085271,en,Brainstorm,9.97,Metro-Goldwyn-Mayer (MGM),United States of America,1983-09-30,"$10,219,460.00",106,English,Released,Brainstorm,6.3,65,yes,no,no,no
"$14,000,000.00",Drama,10423,tt0106770,en,Dragon: The Bruce Lee Story,5.08,"Universal Pictures, Raffaella De Laurentiis Productions",United States of America,1993-05-07,"$63,513,743.00",120,"Unknown language [cn], English",Released,Dragon: The Bruce Lee Story,6.8,156,no,yes,yes,no
"$3,500,000.00","Comedy, Drama, War",651,tt0066026,en,M*A*S*H,7.7,"Twentieth Century Fox Film Corporation, Aspen Productions (I), Ingo Preminger Productions",United States of America,1970-01-24,"$81,600,000.00",116,"English, French, Japanese, Korean",Released,M*A*S*H,6.9,238,yes,yes,yes,no
"$6,000,000.00","Western, Action",18647,tt0055257,en,One-Eyed Jacks,6.95,"Paramount Pictures, Pennebaker Productions",United States of America,1961-03-30,"$4,300,000.00",141,"English, Spanish",Released,One-Eyed Jacks,6.2,45,yes,yes,yes,no
"$35,000,000.00","Action, Adventure, Drama, Thriller",11362,tt0245844,en,The Count of Monte Cristo,10.77,"Spyglass Entertainment, World 2000 Entertainment, Count of Monte Cristo Ltd., Touchstone Pictures",United States of America,2002-01-23,"$75,395,048.00",131,English,Released,The Count of Monte Cristo,7.3,463,yes,no,yes,no
"$32,000,000.00","Drama, Horror, Mystery",2637,tt0265349,en,The Mothman Prophecies,8.51,Lakeshore Entertainment,United States of America,2002-01-25,"$55,157,539.00",119,English,Released,The Mothman Prophecies,6.1,307,yes,no,no,no
"$11,000,000.00","Drama, Romance",10229,tt0281358,en,A Walk to Remember,8.05,"DiNovi Pictures, Pandora Pictures, Gaylord Films, Warner Bros.",United States of America,2002-01-25,"$41,227,069.00",101,English,Released,A Walk to Remember,7.5,1057,yes,no,yes,no
"$14,500,000.00","Animation, Science Fiction",9606,tt0293416,ja,Metropolis,9.3,"Bandai Visual Company, Destination Films, Toho Company, DENTSU Music And Entertainment, Tezuka Production Company Ltd., Madhouse, King Record Co., Kadokawa Shoten Publishing Co., Sony Pictures Television, Studio 4°C, Imagica Corp., Metropolis Project",Japan,2001-05-26,"$95,789,342.00",108,"Russian, English, Japanese, French, German, Italian, Spanish",Released,Metropolis,6.8,99,yes,yes,yes,no
"$13,000,000.00","Comedy, Romance",31674,tt0097116,en,Cousins,7.58,Paramount Pictures,United States of America,1989-02-10,"$22,030,000.00",109,English,Released,Cousins,5.1,14,yes,no,no,no
"$85,000,000.00","Action, Thriller, Drama",9884,tt0233469,en,Collateral Damage,10.18,"David Foster Productions, Bel Air Entertainment, Warner Bros., Hacienda Productions",United States of America,2002-02-06,"$78,382,433.00",108,"English, Spanish",Released,Collateral Damage,5.5,431,yes,yes,yes,no
"$50,000,000.00","Action, Adventure, Comedy, Family",11212,tt0109190,en,Baby's Day Out,12.51,Twentieth Century Fox Film Corporation,United States of America,1994-07-01,"$16,671,505.00",99,"English, French, German",Released,Baby's Day Out,5.8,281,yes,yes,no,no
"$12,000,000.00","Action, Adventure, Comedy, Drama, Family, Music, Romance",17130,tt0275022,en,Crossroads,6.63,"Paramount Pictures, MTV Films",United States of America,2002-02-15,"$61,141,030.00",93,English,Released,Crossroads,4.7,161,yes,no,yes,no
"$70,000,000.00","Drama, War",10592,tt0251114,en,Hart's War,14.12,"David Foster Productions, Cheyenne Enterprises, Metro-Goldwyn-Mayer (MGM), David Ladd Films",United States of America,2002-02-15,"$32,287,044.00",125,"English, German",Released,Hart's War,5.9,246,yes,yes,yes,no
"$36,000,000.00","Drama, Thriller, Crime",8470,tt0251160,en,John Q,8.87,"New Line Cinema, Burg/Koules Productions, Evolution Entertainment",United States of America,2002-02-15,"$102,244,770.00",116,"English, Spanish",Released,John Q,7.0,604,yes,yes,yes,no
"$3,000,000.00","Comedy, Crime, Mystery",39939,tt0247745,en,Super Troopers,7.35,"Fox Searchlight Pictures, Broken Lizard Industries",United States of America,2001-01-18,"$18,492,362.00",100,English,Released,Super Troopers,6.6,367,yes,no,yes,no
"$8,000,000.00","Action, Comedy",14475,tt0081698,en,Used Cars,6.96,Columbia Pictures Corporation,United States of America,1980-07-11,"$11,715,321.00",113,English,Released,Used Cars,6.3,71,yes,no,no,no
"$60,000,000.00",Drama,10052,tt0259288,en,Dragonfly,4.92,"Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Gran Via Productions, Kalima Productions GmbH & Co. KG, NDE Productions","Germany, United States of America",2002-02-22,"$52,322,400.00",104,"English, Spanish",Released,Dragonfly,6.2,209,no,yes,yes,yes
"$35,000,000.00","Drama, Fantasy, Horror",11979,tt0238546,en,Queen of the Damned,8.44,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., WV Films LLC, Material","Australia, United States of America",2002-02-10,"$45,479,110.00",101,English,Released,Queen of the Damned,5.5,247,yes,no,yes,yes
"$35,000,000.00","Comedy, Family",23479,tt0074174,en,The Bad News Bears,8.4,Paramount Pictures,United States of America,1976-04-07,"$35,323,292.00",102,"English, Spanish",Released,The Bad News Bears,7.0,100,yes,yes,no,no
"$75,000,000.00","Action, History, War",10590,tt0277434,en,We Were Soldiers,11.35,"Icon Entertainment International, Wheelhouse Entertainment, Motion Picture Production GmbH & Co. Erste KG","Germany, United States of America",2002-03-01,"$114,660,784.00",138,"English, Vietnamese, French",Released,We Were Soldiers,6.7,531,yes,yes,yes,yes
"$45,000,000.00","Drama, Romance",46717,tt0110146,en,Intersection,8.3,Paramount Pictures,United States of America,1994-01-21,"$21,355,893.00",98,English,Released,Intersection,5.1,40,yes,no,no,no
"$1,202,007.00",Drama,17058,tt0038057,en,Scarlet Street,6.36,"Diana Productions, Inc., Fritz Lang Productions",United States of America,1945-12-28,"$2,948,386.00",103,English,Released,Scarlet Street,7.7,70,no,no,yes,no
"$14,000,000.00","Action, Adventure, Comedy",13950,tt0278295,en,All About the Benjamins,3.91,New Line Cinema,United States of America,2002-03-08,"$25,482,931.00",95,"English, French",Released,All About the Benjamins,5.9,52,yes,yes,no,no
"$80,000,000.00","Science Fiction, Adventure, Action",2135,tt0268695,en,The Time Machine,8.92,"DreamWorks SKG, Warner Bros.",United States of America,2002-03-04,"$123,729,176.00",96,English,Released,The Time Machine,5.8,644,yes,no,yes,no
"$10,000,000.00","Western, History",14729,tt0081071,en,The Long Riders,3.56,United Artists,United States of America,1980-05-12,"$15,795,189.00",99,"English, Swedish",Released,The Long Riders,6.6,50,yes,yes,no,no
"$33,000,000.00","Horror, Action, Science Fiction",1576,tt0120804,en,Resident Evil,7.78,"Impact Pictures, Davis-Films, New Legacy, Constantin Film Produktion","France, Germany, United Kingdom, United States of America",2002-03-15,"$102,984,862.00",100,English,Released,Resident Evil,6.4,2100,yes,no,yes,yes
"$85,000,000.00","Action, Comedy",5851,tt0284490,en,Showtime,4.92,"Village Roadshow Pictures, NPV Entertainment, Warner Bros., Tribeca Productions, Overbrook Entertainment, Material","Australia, United States of America",2002-03-14,"$77,741,732.00",95,English,Released,Showtime,5.3,286,yes,no,yes,yes
"$1,000,000.00",Comedy,15647,tt0264761,en,Kissing Jessica Stein,3.37,"Fox Searchlight Pictures, Eden Wurmfeld Films, Cineric, Michael Alden Productions, Brad Zions Films",United States of America,2001-04-21,"$10,013,424.00",97,English,Released,Kissing Jessica Stein,5.9,50,no,no,yes,no
"$14,000,000.00",Drama,10627,tt0083169,fr,Taps,5.36,Twentieth Century Fox Film Corporation,United States of America,1981-12-20,"$35,856,053.00",126,English,Released,Taps,6.5,81,no,no,no,no
"$54,000,000.00","Fantasy, Horror, Action, Thriller",36586,tt0187738,en,Blade II,17.05,"New Line Cinema, Amen Ra Films, Milk & Honey, Imaginary Forces, Justin Pictures, Linovo Productions GmbH & Co. KG, Pacific Title and Art Studio, Marvel Enterprises","Germany, United States of America",2002-03-22,"$155,010,032.00",117,"Czech, Romanian, English",Released,Blade II,6.3,1556,yes,yes,yes,yes
"$48,000,000.00","Crime, Drama, Thriller",4547,tt0258000,en,Panic Room,14.97,"Hofflund/Polone, Indelible Productions",United States of America,2002-03-29,"$196,397,415.00",111,English,Released,Panic Room,6.6,1303,yes,no,yes,no
"$20,000,000.00","Drama, Family",14635,tt0265662,en,The Rookie,10.99,"Walt Disney Pictures, Gran Via Productions, 98 MPH Productions",United States of America,2002-03-25,"$75,597,042.00",127,English,Released,The Rookie,6.5,112,yes,no,yes,no
"$42,000,000.00","Drama, Mystery, Thriller, Crime",11560,tt0257756,en,High Crimes,8.37,"Twentieth Century Fox Film Corporation, Regency Enterprises, Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures, Manifest Film Company",United States of America,2002-04-03,"$63,781,810.00",115,"English, Spanish",Released,High Crimes,6.1,187,yes,yes,yes,no
"$11,000,000.00","Drama, Thriller, Crime",12149,tt0264616,en,Frailty,7.4,"Cinerenta Medienbeteiligungs KG, American Entertainment Partners L.P., David Kirschner Productions","Germany, Italy, United States of America",2001-11-17,"$13,110,448.00",100,English,Released,Frailty,7.0,338,yes,no,yes,yes
"$7,000,000.00","Drama, Mystery, Thriller",35080,tt0266391,en,The Cat's Meow,13.55,"Lions Gate Films, Dan Films, CP Medien AG","Germany, United Kingdom, United States of America",2001-08-03,"$3,646,994.00",114,English,Released,The Cat's Meow,6.0,33,yes,no,yes,yes
"$6,000,000.00","Drama, Comedy",441,tt0219822,en,Human Nature,7.71,"Fine Line Features, Senator Film Produktion, Beverly Detroit, StudioCanal, Partizan, Good Machine",United States of America,2001-05-18,"$705,308.00",96,English,Released,Human Nature,6.1,74,yes,no,yes,no
"$5,000,000.00","Comedy, Drama, Romance",8346,tt0259446,en,My Big Fat Greek Wedding,6.72,"Home Box Office (HBO), Playtone, Gold Circle Films, Ontario Film Development Corporation, MPH Entertainment Productions","Canada, United States of America",2002-02-22,"$368,744,044.00",95,"Greek, English",Released,My Big Fat Greek Wedding,6.2,686,yes,yes,yes,yes
"$1,000,000.00","Action, Adventure, Thriller",31671,tt0072737,en,Breakout,2.3,Columbia Pictures Corporation,United States of America,1975-05-21,"$16,000,000.00",96,English,Released,Breakout,6.4,16,yes,no,no,no
"$50,000,000.00","Crime, Drama, Thriller",11892,tt0264935,en,Murder by Numbers,9.65,"Castle Rock Entertainment, Warner Bros., Schroeder Hoffman Productions",United States of America,2002-04-19,"$56,714,147.00",120,English,Released,Murder by Numbers,6.0,275,yes,no,yes,no
"$60,000,000.00","Action, Fantasy, Adventure",9334,tt0277296,en,The Scorpion King,9.49,"Universal Pictures, Kalima Productions GmbH & Co. KG, World Wrestling Entertainment (WWE), Alphaville Films","United States of America, Germany, Belgium",2002-04-16,"$165,333,180.00",92,"English, Thai",Released,The Scorpion King,5.3,802,yes,yes,yes,yes
"$11,000,000.00","Horror, Science Fiction",11470,tt0211443,en,Jason X,7.79,"New Line Cinema, Sean S. Cunningham Films, Crystal Lake Entertainment",United States of America,2001-07-24,"$16,951,798.00",91,English,Released,Jason X,4.5,298,yes,no,yes,no
"$40,000,000.00","Comedy, Drama, Romance",16643,tt0282687,en,Life or Something Like It,6.33,"Regency Enterprises, Epsilon Motion Pictures, Davis Entertainment, New Regency Pictures, Monarchy Enterprises S.a.r.l., Atchity Entertainment International (AEI)","Canada, United States of America",2002-04-26,"$16,872,671.00",103,English,Released,Life or Something Like It,5.7,126,yes,no,yes,yes
